created_at,consultant,date,project,hours,description,rate
2019-12-06 10:45:22,Stanislav Valasek,2020-01-05,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-05,_Sales,6,Demo materials for Toronto conference,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-06,React,6,Merge of React codebase into Vue.js,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-06,Vue,5,Updates of all Vue.js documentation examples using typescript,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-07,React,6,Merge of React codebase into Vue.js,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-07,Vue,5,Updates of all Vue.js documentation examples using typescript,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-08,_Personal Day,4,,Personal Day
2019-12-06 10:45:22,Stanislav Valasek,2020-01-08,Python,4,Work on PEP1024 - Mandatory types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-09,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-09,React,6,Merge of React codebase into Vue.js,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-10,_Sales,6,Demo materials for Toronto conference,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-10,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-11,_Travel Time,4,Commute to Toronto,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-11,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-12,Quasar,6,Performance refactoring and new typescript types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-12,Google,4,Merge of community packages into Go standard library,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-13,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-13,_Personal Day,4,,Personal Day
2019-12-06 10:45:22,Stanislav Valasek,2020-01-14,_Sick Day,4,,Sick Day
2019-12-06 10:45:22,Stanislav Valasek,2020-01-14,_Personal Day,4,,Personal Day
2019-12-06 10:45:22,Stanislav Valasek,2020-01-15,Google,4,Merge of community packages into Go standard library,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-15,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-16,_Travel Time,4,Commute to Toronto,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-16,Google,4,Merge of community packages into Go standard library,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-17,Spotify,6,Identify and document team delivery best practicies,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-17,Quasar,6,Performance refactoring and new typescript types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-18,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-18,_Vacation,4,,Vacation
2019-12-06 10:45:22,Stanislav Valasek,2020-01-19,Spotify,6,Identify and document team delivery best practicies,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-19,Python,4,Work on PEP1024 - Mandatory types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-20,_Travel Time,4,Commute to Toronto,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-20,_Personal Day,4,,Personal Day
2019-12-06 10:45:22,Stanislav Valasek,2020-01-21,React,6,Merge of React codebase into Vue.js,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-21,Python,4,Work on PEP1024 - Mandatory types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-22,_Unpaid Leave,4,,Unpaid Leave
2019-12-06 10:45:22,Stanislav Valasek,2020-01-22,_Sick,4,,Sick
2019-12-06 10:45:22,Stanislav Valasek,2020-01-23,_Vacation,4,,Vacation
2019-12-06 10:45:22,Stanislav Valasek,2020-01-23,Spotify,6,Identify and document team delivery best practicies,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-24,Vue,5,Updates of all Vue.js documentation examples using typescript,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-24,Google,4,Merge of community packages into Go standard library,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-25,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-25,Google,4,Merge of community packages into Go standard library,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-26,_Personal Day,4,,Personal Day
2019-12-06 10:45:22,Stanislav Valasek,2020-01-26,_Unpaid Leave,4,,Unpaid Leave
2019-12-06 10:45:22,Stanislav Valasek,2020-01-27,Spotify,6,Identify and document team delivery best practicies,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-27,_Sales,6,Demo materials for Toronto conference,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-28,_Sales,6,Demo materials for Toronto conference,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-28,Google,4,Merge of community packages into Go standard library,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-29,_Sales,6,Demo materials for Toronto conference,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-29,_Unpaid Leave,4,,Unpaid Leave
2019-12-06 10:45:22,Stanislav Valasek,2020-01-30,React,6,Merge of React codebase into Vue.js,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-30,Ruby on Rails,5,Porting RoR into Golang,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-31,_Sales,6,Demo materials for Toronto conference,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-31,_Sales,6,Demo materials for Toronto conference,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-01,_Sick,4,,Sick
2019-12-06 10:45:22,Stanislav Valasek,2020-02-01,_Personal Day,4,,Personal Day
2019-12-06 10:45:22,Stanislav Valasek,2020-02-02,_Sick Day,4,,Sick Day
2019-12-06 10:45:22,Stanislav Valasek,2020-02-02,Google,4,Merge of community packages into Go standard library,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-03,_Sales,6,Demo materials for Toronto conference,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-03,React,6,Merge of React codebase into Vue.js,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-04,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-04,Google,4,Merge of community packages into Go standard library,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-05,_Vacation,4,,Vacation
2019-12-06 10:45:22,Stanislav Valasek,2020-02-05,_Travel Time,4,Commute to Toronto,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-06,React,6,Merge of React codebase into Vue.js,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-06,_Travel Time,4,Commute to Toronto,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-07,Ruby on Rails,5,Porting RoR into Golang,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-07,Quasar,6,Performance refactoring and new typescript types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-08,_Personal Day,4,,Personal Day
2019-12-06 10:45:22,Stanislav Valasek,2020-02-08,Spotify,6,Identify and document team delivery best practicies,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-09,_Personal Day,4,,Personal Day
2019-12-06 10:45:22,Stanislav Valasek,2020-02-09,_Sales,6,Demo materials for Toronto conference,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-10,_Sales,6,Demo materials for Toronto conference,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-10,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-11,_Unpaid Leave,4,,Unpaid Leave
2019-12-06 10:45:22,Stanislav Valasek,2020-02-11,_Sales,6,Demo materials for Toronto conference,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-12,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-12,Vue,5,Updates of all Vue.js documentation examples using typescript,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-13,_Sick Day,4,,Sick Day
2019-12-06 10:45:22,Stanislav Valasek,2020-02-13,Google,4,Merge of community packages into Go standard library,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-14,Vue,5,Updates of all Vue.js documentation examples using typescript,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-14,_Sick Day,4,,Sick Day
2019-12-06 10:45:22,Stanislav Valasek,2020-02-15,Quasar,6,Performance refactoring and new typescript types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-15,Ruby on Rails,5,Porting RoR into Golang,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-16,Ruby on Rails,5,Porting RoR into Golang,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-16,Spotify,6,Identify and document team delivery best practicies,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-17,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-17,_Sick Day,4,,Sick Day
2019-12-06 10:45:22,Stanislav Valasek,2020-02-18,Google,4,Merge of community packages into Go standard library,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-18,_Unpaid Leave,4,,Unpaid Leave
2019-12-06 10:45:22,Stanislav Valasek,2020-02-19,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-19,_Sick Day,4,,Sick Day
2019-12-06 10:45:22,Stanislav Valasek,2020-02-20,React,6,Merge of React codebase into Vue.js,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-20,_Sick,4,,Sick
2019-12-06 10:45:22,Stanislav Valasek,2020-02-21,Google,4,Merge of community packages into Go standard library,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-21,Quasar,6,Performance refactoring and new typescript types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-22,_Sick Day,4,,Sick Day
2019-12-06 10:45:22,Stanislav Valasek,2020-02-22,React,6,Merge of React codebase into Vue.js,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-23,Spotify,6,Identify and document team delivery best practicies,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-23,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-24,Spotify,6,Identify and document team delivery best practicies,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-24,_Personal Day,4,,Personal Day
2019-12-06 10:45:22,Stanislav Valasek,2020-02-25,_Sick,4,,Sick
2019-12-06 10:45:22,Stanislav Valasek,2020-02-25,_Sick Day,4,,Sick Day
2019-12-06 10:45:22,Stanislav Valasek,2020-02-26,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-26,Python,4,Work on PEP1024 - Mandatory types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-27,_Personal Day,4,,Personal Day
2019-12-06 10:45:22,Stanislav Valasek,2020-02-27,_Personal Day,4,,Personal Day
2019-12-06 10:45:22,Stanislav Valasek,2020-02-28,React,6,Merge of React codebase into Vue.js,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-28,Vue,5,Updates of all Vue.js documentation examples using typescript,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-02-29,_Vacation,4,,Vacation
2019-12-06 10:45:22,Stanislav Valasek,2020-02-29,_Unpaid Leave,4,,Unpaid Leave
2019-12-06 10:45:22,Stanislav Valasek,2020-03-01,React,6,Merge of React codebase into Vue.js,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-01,_Personal Day,4,,Personal Day
2019-12-06 10:45:22,Stanislav Valasek,2020-03-02,Ruby on Rails,5,Porting RoR into Golang,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-02,_Sick,4,,Sick
2019-12-06 10:45:22,Stanislav Valasek,2020-03-03,_Sick,4,,Sick
2019-12-06 10:45:22,Stanislav Valasek,2020-03-03,_Travel Time,4,Commute to Toronto,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-04,Spotify,6,Identify and document team delivery best practicies,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-04,Ruby on Rails,5,Porting RoR into Golang,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-05,Spotify,6,Identify and document team delivery best practicies,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-05,_Personal Day,4,,Personal Day
2019-12-06 10:45:22,Stanislav Valasek,2020-03-06,_Unpaid Leave,4,,Unpaid Leave
2019-12-06 10:45:22,Stanislav Valasek,2020-03-06,_Unpaid Leave,4,,Unpaid Leave
2019-12-06 10:45:22,Stanislav Valasek,2020-03-07,Quasar,6,Performance refactoring and new typescript types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-07,Quasar,6,Performance refactoring and new typescript types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-08,React,6,Merge of React codebase into Vue.js,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-08,_Travel Time,4,Commute to Toronto,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-09,React,6,Merge of React codebase into Vue.js,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-09,_Sick Day,4,,Sick Day
2019-12-06 10:45:22,Stanislav Valasek,2020-03-10,Python,4,Work on PEP1024 - Mandatory types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-10,Vue,5,Updates of all Vue.js documentation examples using typescript,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-11,Vue,5,Updates of all Vue.js documentation examples using typescript,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-11,_Sales,6,Demo materials for Toronto conference,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-12,_Vacation,4,,Vacation
2019-12-06 10:45:22,Stanislav Valasek,2020-03-12,Spotify,6,Identify and document team delivery best practicies,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-13,_Sick,4,,Sick
2019-12-06 10:45:22,Stanislav Valasek,2020-03-13,_Unpaid Leave,4,,Unpaid Leave
2019-12-06 10:45:22,Stanislav Valasek,2020-03-14,_Travel Time,4,Commute to Toronto,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-14,Quasar,6,Performance refactoring and new typescript types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-15,_Vacation,4,,Vacation
2019-12-06 10:45:22,Stanislav Valasek,2020-03-15,Quasar,6,Performance refactoring and new typescript types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-16,_Sick Day,4,,Sick Day
2019-12-06 10:45:22,Stanislav Valasek,2020-03-16,_Unpaid Leave,4,,Unpaid Leave
2019-12-06 10:45:22,Stanislav Valasek,2020-03-17,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-17,Vue,5,Updates of all Vue.js documentation examples using typescript,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-18,_Vacation,4,,Vacation
2019-12-06 10:45:22,Stanislav Valasek,2020-03-18,_Vacation,4,,Vacation
2019-12-06 10:45:22,Stanislav Valasek,2020-03-19,Python,4,Work on PEP1024 - Mandatory types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-19,_Personal Day,4,,Personal Day
2019-12-06 10:45:22,Stanislav Valasek,2020-03-20,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-20,_Unpaid Leave,4,,Unpaid Leave
2019-12-06 10:45:22,Stanislav Valasek,2020-03-21,React,6,Merge of React codebase into Vue.js,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-21,Vue,5,Updates of all Vue.js documentation examples using typescript,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-22,_Unpaid Leave,4,,Unpaid Leave
2019-12-06 10:45:22,Stanislav Valasek,2020-03-22,Quasar,6,Performance refactoring and new typescript types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-23,Ruby on Rails,5,Porting RoR into Golang,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-23,_Travel Time,4,Commute to Toronto,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-24,_Sick,4,,Sick
2019-12-06 10:45:22,Stanislav Valasek,2020-03-24,Google,4,Merge of community packages into Go standard library,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-25,Spotify,6,Identify and document team delivery best practicies,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-25,Vue,5,Updates of all Vue.js documentation examples using typescript,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-26,Google,4,Merge of community packages into Go standard library,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-26,_Sick Day,4,,Sick Day
2019-12-06 10:45:22,Stanislav Valasek,2020-03-27,_Unpaid Leave,4,,Unpaid Leave
2019-12-06 10:45:22,Stanislav Valasek,2020-03-27,Python,4,Work on PEP1024 - Mandatory types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-28,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-28,Spotify,6,Identify and document team delivery best practicies,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-29,Ruby on Rails,5,Porting RoR into Golang,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-29,Spotify,6,Identify and document team delivery best practicies,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-30,_Personal Day,4,,Personal Day
2019-12-06 10:45:22,Stanislav Valasek,2020-03-30,Spotify,6,Identify and document team delivery best practicies,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-31,_Sales,6,Demo materials for Toronto conference,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-03-31,React,6,Merge of React codebase into Vue.js,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-01,React,6,Merge of React codebase into Vue.js,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-01,_Personal Day,4,,Personal Day
2019-12-06 10:45:22,Stanislav Valasek,2020-04-02,_Sick Day,4,,Sick Day
2019-12-06 10:45:22,Stanislav Valasek,2020-04-02,Ruby on Rails,5,Porting RoR into Golang,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-03,_Travel Time,4,Commute to Toronto,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-03,_Personal Day,4,,Personal Day
2019-12-06 10:45:22,Stanislav Valasek,2020-04-04,_Unpaid Leave,4,,Unpaid Leave
2019-12-06 10:45:22,Stanislav Valasek,2020-04-04,Quasar,6,Performance refactoring and new typescript types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-05,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-05,Spotify,6,Identify and document team delivery best practicies,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-06,Python,4,Work on PEP1024 - Mandatory types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-06,React,6,Merge of React codebase into Vue.js,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-07,_Sick,4,,Sick
2019-12-06 10:45:22,Stanislav Valasek,2020-04-07,Python,4,Work on PEP1024 - Mandatory types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-08,Spotify,6,Identify and document team delivery best practicies,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-08,Vue,5,Updates of all Vue.js documentation examples using typescript,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-09,_Travel Time,4,Commute to Toronto,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-09,Spotify,6,Identify and document team delivery best practicies,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-10,_Sick,4,,Sick
2019-12-06 10:45:22,Stanislav Valasek,2020-04-10,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-11,React,6,Merge of React codebase into Vue.js,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-11,_Sick Day,4,,Sick Day
2019-12-06 10:45:22,Stanislav Valasek,2020-04-12,Ruby on Rails,5,Porting RoR into Golang,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-12,_Vacation,4,,Vacation
2019-12-06 10:45:22,Stanislav Valasek,2020-04-13,Ruby on Rails,5,Porting RoR into Golang,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-13,Python,4,Work on PEP1024 - Mandatory types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-14,_Sales,6,Demo materials for Toronto conference,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-14,Vue,5,Updates of all Vue.js documentation examples using typescript,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-15,_Sick Day,4,,Sick Day
2019-12-06 10:45:22,Stanislav Valasek,2020-04-15,_Sales,6,Demo materials for Toronto conference,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-16,_Sick,4,,Sick
2019-12-06 10:45:22,Stanislav Valasek,2020-04-16,Quasar,6,Performance refactoring and new typescript types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-17,_Travel Time,4,Commute to Toronto,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-17,_Personal Day,4,,Personal Day
2019-12-06 10:45:22,Stanislav Valasek,2020-04-18,Python,4,Work on PEP1024 - Mandatory types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-18,Spotify,6,Identify and document team delivery best practicies,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-19,React,6,Merge of React codebase into Vue.js,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-04-19,Vue,5,Updates of all Vue.js documentation examples using typescript,Standard
